artist_category,year,album_count
Emerging,2025,15
Famous,2025,30
Emerging,2024,67
Famous,2024,83
Emerging,2023,24
Famous,2023,60
Emerging,2022,18
Famous,2022,64
Emerging,2021,11
Famous,2021,53
Emerging,2020,3
Famous,2020,64
Emerging,2019,1
Famous,2019,37
Emerging,2018,5
Famous,2018,43
Emerging,2017,2
Famous,2017,41
Emerging,2016,1
Famous,2016,22
Emerging,2015,7
Famous,2015,23
Emerging,2014,4
Famous,2014,21
Famous,2013,17
Emerging,2012,2
Famous,2012,26
Emerging,2011,1
Famous,2011,24
Emerging,2010,3
Famous,2010,16
Emerging,2009,2
Famous,2009,10
Famous,2008,16
Emerging,2007,2
Famous,2007,5
Famous,2006,7
Emerging,2005,1
Famous,2005,7
Famous,2004,7
Emerging,2003,1
Famous,2003,5
Emerging,2002,1
Famous,2002,5
Famous,2001,4
Emerging,2000,1
Famous,2000,5
Famous,1999,3
Famous,1998,1
Famous,1997,4
Emerging,1996,1
Famous,1996,1
Emerging,1995,1
Famous,1995,2
Emerging,1994,1
Famous,1994,1
Famous,1993,2
Emerging,1991,1
Famous,1991,6
Famous,1990,1
Famous,1989,1
Famous,1987,4
Famous,1986,2
Famous,1985,1
Famous,1984,1
Famous,1983,2
Emerging,1982,1
Famous,1982,3
Famous,1980,5
Famous,1979,1
Famous,1978,4
Famous,1977,5
Famous,1976,2
Famous,1974,1
Famous,1973,3
Famous,1972,1
Famous,1971,1
Famous,1970,5
Famous,1969,6
Famous,1967,4
Famous,1966,3
Famous,1965,2
Famous,1964,2
Famous,1963,1
Emerging,-470,8
Famous,-470,18
