artist_id,artist_name,popularity,followers,track_count,album_count,playlist_count,track_popularity,album_popularity,top_by_follower,top_by_popularity,top_by_track,top_by_album,top_by_playlist,top_by_track_rate,top_by_album_rate,top_by_all_count,top_by_all_rate,genres
6pV5zH2LzjOUHaAvENdMMa,Neton Vega,90,2534850,1,1,2,92.0,92.0,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,"corrido,corridos bélicos,corridos tumbados,dembow belico,electro corridos"
7a0XAaPaK2aDSqa8p3QnC7,Beéle,89,1814274,2,2,1,84.0,72.5,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,"latin afrobeats,pop urbano,reggaeton"
0fTSzq9jAh4c36UVb4V7CB,Alex Warren,87,1568465,5,2,4,85.62,80.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,NULL
5OWksQm7ONWIGZqMXovSli,Calmly,87,51783,99,32,1,49.71,50.78,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,NULL
2sSGPbdZJkaSE2AbcGOACx,The Marías,86,2866107,1,1,5,93.0,87.0,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,bedroom pop
3xvaSlT4xsyk6lY1ESOspO,Disney,86,764825,0,0,0,0.0,0.0,No,Yes,No,No,No,No,No,No,No,NULL
3E12tRURRvPfHz0hAMCFYc,Omar Courtz,85,1183007,0,0,0,0.0,0.0,No,Yes,No,No,No,No,No,No,No,NULL
4E2rKHVDssGJm2SCDOMMJB,Doechii,85,2957988,2,2,3,88.0,78.5,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,NULL
4G9NDjRyZFDlJKMRL8hx3S,sombr,85,1009403,2,2,6,96.56,85.5,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,NULL
2YRyPiW98bpkARAS4B3OQP,Dei V,83,2000875,0,0,0,0.0,0.0,Yes,Yes,No,No,No,No,No,No,No,"trap latino,urbano latino"
2kdmTOXncgNHSuYVMhdd5I,Jorge Rivera-Herrans,83,858112,40,8,2,74.6,74.25,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,musicals
6qxpnaukVayrQn6ViNvu9I,BigXthaPlug,83,1648988,1,0,1,88.0,0.0,No,Yes,No,No,No,Yes,No,No,No,southern hip hop
