artist_category,year,avg_track_count
Emerging,2025,15
Famous,2025,20
Emerging,2024,33
Famous,2024,20
Emerging,2023,40
Famous,2023,22
Emerging,2022,7
Famous,2022,17
Emerging,2021,14
Famous,2021,19
Emerging,2020,13
Famous,2020,18
Emerging,2019,7
Famous,2019,19
Emerging,2018,3
Famous,2018,17
Emerging,2017,1
Famous,2017,21
Emerging,2016,5
Famous,2016,14
Emerging,2015,3
Famous,2015,16
Emerging,2014,3
Famous,2014,9
Famous,2013,18
Emerging,2012,7
Famous,2012,16
Emerging,2011,7
Famous,2011,17
Emerging,2010,6
Famous,2010,13
Emerging,2009,4
Famous,2009,7
Famous,2008,15
Emerging,2007,2
Famous,2007,23
Famous,2006,12
Emerging,2005,6
Famous,2005,7
Famous,2004,8
Emerging,2003,11
Famous,2003,30
Emerging,2002,11
Famous,2002,5
Famous,2001,10
Emerging,2000,2
Famous,2000,37
Famous,1999,5
Famous,1998,11
Famous,1997,15
Emerging,1996,1
Famous,1996,11
Emerging,1995,11
Famous,1995,12
Emerging,1994,11
Famous,1994,7
Famous,1993,6
Emerging,1991,6
Famous,1991,6
Famous,1990,8
Famous,1989,6
Famous,1987,7
Famous,1986,11
Famous,1985,5
Famous,1984,20
Famous,1983,6
Emerging,1982,3
Famous,1982,14
Famous,1980,9
Famous,1979,8
Famous,1978,12
Famous,1977,8
Famous,1976,14
Famous,1974,20
Famous,1973,15
Famous,1972,9
Famous,1971,9
Famous,1970,14
Famous,1969,13
Famous,1967,24
Famous,1966,16
Famous,1965,19
Famous,1964,30
Famous,1963,30
Emerging,-470,39
Famous,-470,9
