artist_name,followers,track_count,album_count,playlist_count,artist_popularity,avg_track_popularity,avg_album_popularity
Eminem,99996314,1,1,13,92,87.0,82.0
Adele,63820410,1,1,2,87,85.0,NULL
Coldplay,58034879,5,5,26,92,90.8181818181818,NULL
Imagine Dragons,57067967,1,1,1,88,59.0,NULL
Olivia Rodrigo,45346371,2,2,6,89,85.2857142857143,NULL
Beyoncé,40182936,0,0,0,88,NULL,NULL
One Direction,39355392,1,1,0,86,75.0,NULL
Ozuna,38437482,0,0,0,88,NULL,NULL
Lady Gaga,37143407,6,5,31,94,93.936170212766,79.0
Camila Cabello,34857514,0,0,0,82,NULL,NULL
The Beatles,29818595,2,2,0,86,67.0,57.0
Badshah,28638680,0,0,0,77,NULL,NULL
Chris Brown,26195906,0,0,0,90,NULL,NULL
Twenty One Pilots,25312563,0,0,0,85,NULL,NULL
Cardi B,25267435,0,0,0,81,NULL,NULL
Charlie Puth,24447346,0,0,0,80,NULL,NULL
Calvin Harris,23150216,0,0,0,88,NULL,NULL
Red Hot Chili Peppers,22409141,0,0,0,85,NULL,NULL
Halsey,22087940,0,0,0,83,NULL,NULL
Sabrina Carpenter,21772483,4,3,18,92,89.0,NULL
"Tyler, The Creator",21596371,2,1,19,90,85.0833333333333,85.0
2Pac,21303742,0,0,0,82,NULL,NULL
Future,21223668,3,1,10,93,72.5294117647059,NULL
The Chainsmokers,21005929,1,1,7,83,90.0,NULL
Frank Ocean,18602402,1,1,18,88,90.0,NULL
OneRepublic,18192899,0,0,0,85,NULL,NULL
50 Cent,17549333,1,1,6,85,81.0,78.0
Feid,17083469,0,0,0,90,NULL,NULL
Farruko,16562937,0,0,0,84,NULL,NULL
Carin Leon,15790062,0,0,0,86,NULL,NULL
Cigarettes After Sex,15563505,1,1,0,86,90.0,NULL
Fuerza Regida,15297322,0,0,0,91,NULL,NULL
The Rolling Stones,15208189,0,0,0,80,NULL,NULL
Playboi Carti,14091872,11,3,12,94,82.4545454545455,NULL
Childish Gambino,14078663,0,0,0,82,NULL,NULL
Fleetwood Mac,13030463,3,2,26,84,86.7727272727273,NULL
System Of A Down,12770686,0,0,0,83,NULL,NULL
Luke Combs,12608534,2,2,6,86,85.8571428571429,74.0
Foo Fighters,12553748,1,1,18,78,85.0,77.0
Radiohead,11988175,1,1,4,86,81.0,80.0
Eagles,11642681,0,0,0,78,NULL,NULL
Conan Gray,11632499,1,1,4,81,88.0,NULL
Enrique Iglesias,11631084,0,0,0,81,NULL,NULL
Oasis,11499503,0,0,0,80,NULL,NULL
Mariah Carey,11340379,0,0,0,80,NULL,NULL
Fall Out Boy,11245660,0,0,0,81,NULL,NULL
Rammstein,11203343,0,0,0,81,NULL,NULL
Luis Fonsi,10823430,0,0,0,76,NULL,NULL
Ice Cube,10355757,0,0,0,76,NULL,NULL
5 Seconds of Summer,10326129,1,1,5,78,83.0,NULL
Iron Maiden,9930180,0,0,0,74,NULL,NULL
Céline Dion,9744070,0,0,0,78,NULL,NULL
Chase Atlantic,9556269,0,0,0,83,NULL,NULL
IU,9166947,0,0,0,71,NULL,NULL
Flo Rida,8930854,0,0,0,82,NULL,NULL
Christina Aguilera,8924189,0,0,0,80,NULL,NULL
Tame Impala,8803503,1,1,13,82,88.0,NULL
ITZY,8395876,0,0,0,69,NULL,NULL
Chris Stapleton,8358106,1,1,4,84,86.0,NULL
Gerardo Ortiz,8308412,0,0,0,76,NULL,NULL
Central Cee,8246336,2,1,1,84,72.0,NULL
Frank Sinatra,8003781,0,0,0,79,NULL,NULL
Creedence Clearwater Revival,7540050,0,0,0,80,NULL,NULL
Brent Faiyaz,7368767,0,0,0,84,NULL,NULL
Florence + The Machine,7090216,0,0,0,80,NULL,NULL
Bruce Springsteen,6980835,1,1,9,78,85.0,NULL
Phil Collins,6783143,0,0,0,79,NULL,NULL
Iggy Azalea,6763273,0,0,0,71,NULL,NULL
Five Finger Death Punch,6747176,0,0,0,75,NULL,NULL
Ozzy Osbourne,6279396,0,0,0,73,NULL,NULL
The Offspring,6270658,2,2,17,79,84.0,NULL
Carrie Underwood,6095610,0,0,0,73,NULL,NULL
Chance the Rapper,6031661,0,0,0,76,NULL,NULL
Chappell Roan,6013602,3,3,6,88,88.8,84.0
Fergie,6005491,0,0,0,72,NULL,NULL
Clairo,6001540,1,1,4,82,83.0,NULL
Calum Scott,5942867,0,0,0,76,NULL,NULL
Cris Mj,5867693,0,0,0,86,NULL,NULL
Clean Bandit,5812424,0,0,0,77,NULL,NULL
Wolfgang Amadeus Mozart,5762539,0,0,0,77,NULL,NULL
Gera MX,5735024,0,0,0,78,NULL,NULL
ONE OK ROCK,5705602,0,0,0,74,NULL,NULL
French Montana,5701136,0,0,0,77,NULL,NULL
beabadoobee,5636433,2,2,7,83,83.5,NULL
Chief Keef,5596132,1,1,0,77,28.0,NULL
