album_name,num_artists,popularity,total_tracks
I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),3,76,1
The Idol Episode 4 (Music from the HBO Original Series),3,83,3
The Heist,3,79,15
Your Love (9PM),3,65,1
TOPA TOPA TOPA,3,59,4
I Adore You (feat. Daecolm),3,77,1
Top Gun: Maverick (Music From The Motion Picture),3,65,12
Unnai Kaanadhu Naan (Trending Version),3,21,1
GOLD II,3,43,6
Gold,3,40,1
UNA MAMI,3,14,1
GOLD,3,29,8
Golden Skies,3,60,15
Leave You Alone (Sped Up),3,0,1
Leave You Alone (Slowed),3,0,1
Latinamerica (feat. Vika),3,47,1
Sangre Latina Vol.4,3,12,1
メズマライザー,3,60,1
mouthspider,3,26,1
心结（Heart Knot）,3,3,1
I Said I Love You First,2,84,14
I Said I Love You First,2,80,14
light years (feat. Inéz),2,65,1
I'm Good (Blue),2,77,2
AWAKENED,2,18,5
I Don't Wanna Wait,2,75,2
I Had Some Help,2,74,1
The Days (NOTION Remix),2,80,2
Top Of The Month,2,43,1
Top Secrets,2,62,8
Top 50 Bach,2,48,50
Breaking Me,2,64,1
Cooler Box,2,4,1
$ome $exy $ongs 4 U,2,91,21
United,2,74,12
Until I Found You (Em Beihold Version),2,70,1
Kollywood's Ultimate Combination Of Sam Cs X D. Imman,2,1,12
Gold,2,19,1
Gold,2,39,1
Gold (Stupid Love),2,36,1
My Country,2,0,1
Punk,2,35,2
GARAGE PUNK,2,54,5
Now Or Never,2,62,18
REAL ME,2,54,1
NOW IT'S GONE (ELY OAKS REMIX),2,63,2
Now or Never (feat. Lauren Alaina),2,43,1
Perfect Timing,2,60,15
Now Or Never,2,62,1
Laugh Now Cry Later (feat. Lil Durk),2,66,1
Leave You Alone,2,0,1
Covered,2,20,1
Cover Me In Sunshine,2,62,1
Miku,2,63,1
佈滿星光的小道 (Cassette Version),2,7,4
Dumelang,2,0,1
Forever,2,27,8
存在理由,2,4,1
M@GICAL CURE! LOVE SHOT!,2,59,1
Vocals Only Mix,2,27,9
You & Me,2,21,8
東京ラブ,2,11,3
Saiko,2,24,7
GUBBAI,2,23,9
I AM...SASHA FIERCE NEW DELUXE EDITION,1,51,18
If You're Reading This It's Too Late,1,75,17
Infinity On High,1,74,19
I Love You.,1,83,11
ปล่อยให้มันเป็นไป (Let it be),1,38,1
I Lie And I Cheat (Uit Liefde Voor Muziek),1,38,1
In Utero (Deluxe Edition),1,75,43
i'll be okay,1,71,9
I Told You,1,71,28
If I Know Me,1,81,14
Illuminate (Deluxe),1,80,16
Immunity,1,77,11
In The Zone,1,76,13
In Rainbows,1,80,10
In Between Dreams,1,72,14
IGOR,1,85,12
i used to think i could fly,1,76,13
I'm A Little Crazy,1,73,1
In A Tidal Wave of Mystery,1,76,12
I've Tried Everything But Therapy (Part 1),1,86,10
I Was / I Am,1,68,10
i am > i was,1,77,15
Into,1,73,7
I Am Not A Human Being II (Deluxe),1,77,17
I met you when I was 18. (the playlist),1,77,17
Is This It,1,72,11
I NEVER LIKED YOU,1,78,16
Infest,1,75,13
I'm The Problem,1,77,1
Isolation,1,77,15
INSCAPE,1,56,11
Kiss the Dirt (Studio Demo),1,23,3
I Love You So,1,78,1
Imaginary Appalachia,1,71,7
I Ain't Sayin',1,66,1
Invasion of Privacy,1,75,13
I've Tried Everything But Therapy (Part 2),1,83,13
Inner Peace,1,71,5
I AM YOU,1,73,15
In The Lonely Hour,1,80,10
Even If It Kills Me (Reimagined),1,51,2
The Party Never Ends 2.0,1,79,19
The Rise and Fall of a Midwest Princess,1,83,14
The College Dropout,1,79,21
The Razors Edge,1,78,12
The Mystery Of The Moonlit Garden,1,0,1
The Eminem Show,1,85,20
THE GOAT,1,76,16
The Documentary,1,75,18
The Secret of Us,1,79,13
The Wall,1,81,26
The Blueprint 3,1,77,15
The Beatles (Remastered),1,76,30
The Rise and Fall of a Midwest Princess,1,88,14
The Great American Bar Scene,1,79,19
The Night Is Quiet,1,72,4
The Foundation,1,73,12
The Life Of Pablo,1,79,20
The Black Parade,1,81,14
The Land Is Inhospitable and So Are We,1,79,11
The Massacre,1,78,22
THE BIGGEST,1,77,7
The Colour And The Shape,1,77,14
The Truth About Love,1,80,17
The Melodic Blue,1,78,16
The Lo-Fis,1,77,15
The Secret of Us (Deluxe),1,88,20
