track_name,artist_name,popularity
Anxiety,Doechii,94
EVIL J0RDAN,Playboi Carti,91
Espresso,Sabrina Carpenter,91
DENIAL IS A RIVER,Doechii,91
Espresso,Sabrina Carpenter,90
Please Please Please,Sabrina Carpenter,88
The Less I Know The Better,Tame Impala,88
The Real Slim Shady,Eminem,87
vampire,Olivia Rodrigo,87
Please Please Please,Sabrina Carpenter,86
ARE WE STILL FRIENDS?,"Tyler, The Creator",86
"You're Gonna Go Far, Kid",The Offspring,84
PHILLY (with Travis Scott),Playboi Carti,84
EARFQUAKE,"Tyler, The Creator",84
Von dutch,Charli xcx,84
BACKD00R (feat. Kendrick Lamar & Jhené Aiko),Playboi Carti,83
Again,Fetty Wap,82
Just A Lil Bit,50 Cent,81
MOJO JOJO,Playboi Carti,81
POP OUT,Playboi Carti,79
LIL DEMON,Future,79
JUMPIN (with Lil Uzi Vert),Playboi Carti,78
Now We're Strangers,Central Cee,76
Track 10,Charli xcx,76
EVIL J0RDAN,Playboi Carti,71
POP OUT,Playboi Carti,69
PHILLY (with Travis Scott),Playboi Carti,68
PLUTOSKI,Future,68
TEFLON DON,Future,68
Top Freestyle,Central Cee,68
JUMPIN (with Lil Uzi Vert),Playboi Carti,67
Top (feat. Pi'erre Bourne),Playboi Carti,61
With The Mandem,Top5,38
Toxic,3MFrench,32
Awesome,Chief Keef,28
