playlist_id,playlist_name,total_tracks,avg_track_popularity
5UXKrOHGgkc8b8KBEZlIv2,THE BEST😮‍💨🔝,366,93.5
0x5sdZSd4GbYmAucCshEsO,Best Latino Hits 🔥,79,93.0
4sWwG8C0tCVpfuDn8o8Rv7,Best2,60,93.0
2EoheVFjqIxgJMb8VnDRtZ,BEST KPOP 2025 - TOP HITS,263,92.0
5UzmPdCuqkl8kY3UF5u1If,Best Best Best,264,92.0
3wCRiN13Xv9zGrIah46wEX,sound,78,91.5
5KJDMJe9EJ7QRz8FG2MIpI,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,149,91.5
34NbomaTu7YuOYnky8nLXL,Pop Hits 2025 (Top 50),52,91.1428571428571
0wFL1lMU8TN3blKQKNWmeD,Top 40 Songs This Week 2025,40,91.0
4u6rO1YqK1cHCpET5B7mmt,"Female Rap / Baddie Energy 🎀💄Cunty Pretty Girl Rap, Hot Girl Vibes, Boss Bitch Playlist ",197,91.0
09djDrzj13bww5Gk2YKmNH,Hot Girls Workout 2025 🍑 Hot Gym Girls 🍑 bad bitches bangers to workout to when hitting the gym,100,90.5
6mtYuOxzl58vSGnEDtZ9uB,Pop Hits 2000s – 2025,272,90.5
0SRdjSDz4RsuozwHv1zhvr,Best TikTok Viral Songs 2025 ⚡️,218,90.2857142857143
07ZJHWuOvmBKS8g4QDJZ6s,WORKOUT 2025🔥 HIGH ENERGY 🔥 EXERCISE MUSIC 🔥 CARDIO PLAYLIST  🔥 BEST DANCE MUSIC,180,90.0
0uFhZpiffd4h8fcBgw42i1,Ed Sheeran: The Complete Collection,144,90.0
1yY0wizGKvNZGSRkOpTcRm,The Best of Teddy Swims - Greatest Hits,63,90.0
26ApDqfQuJooMGRHzSPLDy,*Best 2024,69,89.875
5EwfCDWx2TrZ0qa3xXixUS,"Clean Pop Hits 2025  /  Clean Hits 2024, 2023, 2022 & 2020s /🍬",299,89.8
0UWAxD0ebJhSV8pYg933OC,THEY X DVN VLM2,110,89.6666666666667
0EkZkx6cszrd9c6TBZeICz,Bad Bitch Energy 💅,319,89.6
5iwkYfnHAGMEFLiHFFGnP4,HITS 2025 - Today's Top Songs,60,89.3
774kUuKDzLa8ieaSmi8IfS,Top Hits of 2024,100,89.0
4SWt6k4KUSNzmgRtCTzOKM,TIK TOK 2025 ⚡⚡  APRIL 2025,300,88.9047619047619
44nGPhcz4uh7ODHPHMoK8f,Asia Asia,587,88.8888888888889
1eUMOCiPfffJ1rPP2SfPxq,Chappell Roan “The Giver”,27,88.75
2XbUzUqEZJ11nek8wv0QRn,jazzys playlist🙂‍↕️🙂‍↕️,100,88.3333333333333
7CvHaGRzMXWk3J5njElArY,They'll my your fool,132,88.3333333333333
4wGBRTI1Lr6mHINAo9TVyW,Best 🤷‍♂️,134,88.2222222222222
1o5oq509a0vzHRWFG6s6Qm,this.,194,88.0625
0riwGRxV0NFN0EJIZEUk0r,///,535,88.0
1NnrgRHC7WT8pXo3l0xBDy,Mashups that should be illegal 😈 Mashup & Remixes 2024 🔥,100,88.0
25Y75ozl2aI0NylFToefO5,Afrobeats Hits 🔥,121,88.0
2DfNaw9Z1nuddjI6NczTXS,"AFROBEATS 2025, 2024, 2023 🔥🌴",101,88.0
32HovauslOCYTENgeZlk6M,AFROBEATS TOP 100 🔥🔥🔥(AFRICAN HEAT |AFROBEATS MUSIC |NAIJA |AFROPOP | WIZKID | BURNA | TYLA | REMA,111,88.0
45GzgV6QdDD5fXBN4i3U0g,LATIN MUSIC 2025 🔥 Top Latin Hits 🍑 Pop Latino,121,88.0
4RtQeOm3img9qGjO9VTgLz,AFRICA,77,88.0
53lN6PC4QxIQBuhvwYkem5,Zach Bryan Most Popular,26,88.0
5vXpQ1STmL5BZwl0jwFiej,Africa Padel Claremont Playlist,136,88.0
6mZNQXR2nNcX9ax5Z8o3nJ,The Best💯💯💯😈😈,294,87.8571428571429
5xS3Gi0fA3Uo6RScucyct6,Party Songs 🥳 2010-2025 Hits 🎉,149,87.5
7lTAy5sFqA7qhGhl4plABo,This,196,87.5
3CPGXC844xi8popXIkXQ0j,Th3y,288,87.4
1udqwx26htiKljZx4HwVxs,2000s Throwbacks (Top 100 Hits),107,87.2222222222222
0Lf635QLrTTSTE4uhFu3OJ,𝘣𝘦𝘴𝘵 𝘰𝘧 𝘵𝘩𝘦 𝘣𝘦𝘴𝘵,198,87.1666666666667
4jbZ6iF9esPmsVbjbStX9i,Gold!👑,1972,87.1666666666667
24UjBf8Y87MeiPWk7q662l,Classic Road Trip Songs 70s 80s 90s | Best Driving Music for Your Car | Travel Music Mix | Old Hits,98,87.1428571428571
2XlWXSTD1AYi4MIhhKnqCU,Country Hits 2025,183,87.0
3LRK9qCkQQuhSErdfblhNL,Theyyy,603,87.0
5DVUEqRL1EV8I9n65eBaAw,sad songs to cry out to 😭,137,87.0
6vDGVr652ztNWKZuHvsFvx,Deep House 2025,100,87.0
3aOkUl0SHu7bzE3bHTuow4,HOT GIRL GYM🤸🏻‍♀️,193,86.9090909090909
3649WI6e1a0FGwF7oGLC3W,best of the best,738,86.8636363636364
0ZoEsZauIkkEngSlsQGbh9,Sound,311,86.8
0UucHqeA2hp3nMQBDqQbzH,getting ready feeling hot af,169,86.625
0orDWyz3Wv1XDpO0YuiRw1,Hot Gym Girls Playlist 🍑,213,86.6153846153846
2hkYvSjIEOwsPJFXYJJ4dY,BE$T,143,86.6
5O8WJcG187YG6gVgielOGv,Gold.,1171,86.5918367346939
0mQbGXAlmsI3T2Vyfa0IVd,"Sex Playlist 👅💦Hottest Bedroom Music🔞 (Isabel LaRosa, Hotel Montell Fish, Two feet, The Neighbourhood)",217,86.4
3yFZjlOh8iJNdF9ibuSXlI,Sound,336,86.2222222222222
0W5NLlAHdVRJcuumfetfm8,"'they hate us, cos they anus'",462,86.2173913043478
2AHtZppT1L8Py6nntcMYkH,Jazzy’s playlist🎫,614,86.2
6yQ8hakJKNW8v7ruRn0DvZ,Jazzy 😎,715,86.1944444444444
50oT1r1MNjcbpUdQbsxBhk,Africa,843,86.125
0UisjeP5y8FtRgBL7sYV0k,Jazzy’s playlist 👀,824,86.0909090909091
4rkNAjurbnWevGludSHIqQ,💖Jazzy’s playlist💖 ,661,86.0740740740741
1J3AKimB28rwECybTnh3ob,lil peep playlist💍,136,86.0
4V1OqLIowZVQEM3YyXwYgY,So Close To What OUT NOW - Tate McRae,49,86.0
4uf0gphPVNtk4Uu0bxtdGA,Acoustic Covers 2025 (Top 100),107,86.0
74u7EnjepGw4nQVm40CPqy,THIS,70,86.0
0SwRkvYUtznuv9OZOY0pGz,🗣️🗣️🗣️,124,85.8333333333333
59cV2iKBg5VqBnVgru1cPs,Punk Gym ,1219,85.75
6gFxyEeABqR6rBvOWxH0n4,Jazzy’s playlist,100,85.75
5tSbO6M5AT7r91ytDd4nNP,R&B Hits 2025,423,85.7142857142857
3ePaJfiduBO3GpYCK9rHu5,Gold!,382,85.7
0UqPyax7l1JOAHCyxYjWXZ,"They see me rollin', they hatin'
Patrollin' and tryna catch me ridin' dirty",99,85.6666666666667
3za8xUPaO5ng9AC7rpbMNB,70's Rock (Top 100),134,85.6666666666667
6hKomJBufFBtMZ2NGvUGce,The_best_playlist•_•,318,85.5714285714286
77D6RCAi1qx3NEslpoG5Rv,Best 💯🔥,622,85.5555555555556
580P0wvHL8eRYyEODWQAeR,AFRO HOUSE MIX 2025 🔥  Party Afro House Remixes,172,85.5
62bReXvmroQzQfEUuTNe3Y,Chill House 2025,149,85.5
6q9u6aMvgxNzwFZNPTbiUL,They can imitate you but they can't duplicate zou,47,85.5
7bu7BZEusLNJSaAuUUZBKn,HOUSE MUSIC 2025 (Top 100),104,85.5
48qVGdvASLAbtYxYWNSxk4,///,765,85.4545454545455
4oebh7bd8CH2CBdq2fBsw7,Sound,281,85.3333333333333
5XALIurWS8TuF6kk8bj438,Top Hits of the 2010s,500,85.3
3T5xXVbrRu0SWXfBXetG8q,Gold 🐐,328,85.2857142857143
6p7VJKOyvdwMdGkpae8uuH,(-_-),918,85.28125
3ycGT6uroDFTkVasSjHFpq,?#%€|¥+ĘØ,62,85.2222222222222
4VXP8kbZxxKvRjzmc9ZDV7,sound,436,85.2083333333333
3cI6nMKGS84XUbQr6o9GgU,Hot Country 2025,138,85.1428571428571
00KjsgI9t715OJFEUFziGJ,70s Hits - The Biggest Hits of the 70's,85,85.0
0aSvbpDVaEBTv9dPiXrndk,Disco Hits 80 90,313,85.0
2T3BSpqN34Z4sppHDNWoeE,"R&B Classics  90s & 2000s - Best Old School RnB Hits Playlist - Usher, Chris Brown, Ne-Yo, Mario",146,85.0
4tVtSi8WTUnGQlMOilJV63,This,96,85.0
5jKkHPUXGZHitWujNXQREE,Best '90s Alternative Playlist Ever,167,85.0
5rOcgC13c8nJxV5crU5y42,This and that,449,85.0
0qVADzlnZy20kEWpzSsZK5,jazzy’s music,486,84.8823529411765
09PXcNTdoA7L3l9CGcWlnx,The Best 👌,480,84.75
2gkJXk9oa6T6gyKe0WU7UR,This **** fire 🔥🔥🔥🔥,621,84.75
5sWeIlcthpY448THizPfmv,Country Top 40 Hits (Updated Weekly 2025),122,84.75
6cGR8lJ2VPnaM9ePGPdhHI,Best of 70s 80s 90s Greatest Hits,637,84.7142857142857
4Kd2YZwJ9XipN8tGLXi99N,Gold,463,84.6666666666667
7e6gKFwEXMF6uDQzmD9YXn,The Best Of 70’s,318,84.5714285714286
1tglbc6YWPtZ0YS0qqlYWv,Give the Amish a heart attack,104,84.5
4r7spR4MXvsec7AMD2FJck,2000s-now Pop Hits clean,170,84.5
4Jb4PDWREzNnbZcOHPcZPy,COUNTRY HITS 2025 🔥 New Country Songs + Top Hits,125,84.4285714285714
5KatiPHZFdhCGFUhoVnFNg,jaz,279,84.4
0znR1ROsHpKqsFT1c55Yzu,Golden Oldies 50's & 60's - Best of 50s/60s. EN Greatest hits - Grandes éxitos de  los años 50 y 60.,513,84.3333333333333
2sJHKLdguqXaJIWHuYgIZ2,":*&!""()""/?",431,84.3333333333333
3638tyA3gNr4x30tb33j7R,THEY ARE NIT LIKE US😎😼,609,84.3333333333333
4ASGb9HSoMEUekd7ClxZxZ,Pop Punk Throwback Bangers - 2000s Emo Punk Rock Hits,226,84.3333333333333
5UsrYS3aOlwEoQjdMYSLwH,Punk,389,84.3333333333333
5mMwgU3jW7Wxxkr5F7GzSj,YACHT ROCK | TOP 100 SONGS,150,84.3333333333333
0SSFFoylScMOklD97eE5QY,🥱:-/,752,84.28
1EWFZL2cPkur5CSeGkTgM7,Best of 70s 80s Greatest Hits,515,84.25
5KmBulox9POMt9hOt3VV1x,70s HITS | TOP 100 SONGS,137,84.25
6b2dBnxolvwV2L1L4thWRm,Classic Rock Songs 60s 70s 80s 90s,515,84.25
4TvVpoyxF9kmnu1GLikiQp,clubbing like it's the 2000's,507,84.1428571428571
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,708,84.1052631578947
57zhtpFAIVfLugSd6tzOQM,Best!!!!,1361,84.0652173913043
02zYciJ2UcJ0pqCNd5kGRC,Punk,227,84.0
0PNhuPVQPjRYiSXsVPflTn,The best songs 🤷,167,84.0
0dMexqq0XIWS3QJ74z3ZhD,Hip Hop 2000s Music - Best Hip Hop Hits of the 00s Playlist (Top Hip Hop Songs from 2000 to 2009),150,84.0
1Auw35jiiIb2CF06a7rXvg,THE BEST OF PUNK ROCK,124,84.0
1GXRoQWlxTNQiMNkOe7RqA,Hard Rock /Metal,285,84.0
1MpfaO3BUTsh2lu9oEJ9cW,2010s Emo/PunkRock/PopPunk,110,84.0
