track_name,artist_name,album_name,popularity
Pink Pony Club,Chappell Roan,The Rise and Fall of a Midwest Princess,89
The Giver,Chappell Roan,The Giver,89
Pink Pony Club,Chappell Roan,The Rise and Fall of a Midwest Princess,88
The Real Slim Shady,Eminem,The Marshall Mathers LP,87
ARE WE STILL FRIENDS?,"Tyler, The Creator",IGOR,86
Everlong,Foo Fighters,The Colour And The Shape,85
EARFQUAKE,"Tyler, The Creator",IGOR,84
Dancing in the Moonlight,Toploader,Onka's Big Moka,82
Just A Lil Bit,50 Cent,The Massacre,81
Jigsaw Falling Into Place,Radiohead,In Rainbows,81
Just Dance,Lady Gaga,The Fame,81
The Kind of Love We Make,Luke Combs,Growin' Up,79
Now And Then,The Beatles,Now And Then,68
