track_name,num_playlists,popularity
Die With A Smile,23,99
Yeah! (feat. Lil Jon & Ludacris),22,88
Africa,20,89
You Shook Me All Night Long,20,84
All The Stars (with SZA),19,95
Everlong,19,85
The Chain - 2004 Remaster,19,86
Pink + White,18,90
The Way I Are,17,85
Yellow,17,93
Everybody Wants To Rule The World,17,89
APT.,17,96
Promiscuous,16,87
Espresso,16,90
SICKO MODE,16,85
The Real Slim Shady,16,87
Passionfruit,16,86
Empire State Of Mind,15,84
The Color Violet,15,87
Abracadabra,15,92
Dreams - 2004 Remaster,14,90
A Bar Song (Tipsy),14,88
"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",14,83
Don't,14,86
You Make My Dreams (Come True),14,83
Do I Wanna Know?,14,89
Pumped Up Kicks,14,87
You Give Love A Bad Name,13,80
Every Breath You Take,13,92
The Kids Aren't Alright,13,84
ARE WE STILL FRIENDS?,13,86
The Middle,13,84
The Less I Know The Better,13,88
Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),13,85
DJ Got Us Fallin' In Love (feat. Pitbull),12,87
All Falls Down,12,84
Just the Way You Are,12,89
The Hills,12,88
PUSH 2 START,11,88
Everywhere - 2017 Remaster,11,84
End of Beginning,11,91
EARFQUAKE,11,84
"You're Gonna Go Far, Kid",11,84
EVIL J0RDAN,11,91
Dancing In the Dark,11,85
Ain't No Mountain High Enough,11,85
Dancing Queen,10,87
Paper Planes,10,82
Anxiety,10,94
Brown Eyed Girl,10,84
Pink Skies,10,88
TOPIA TWINS (feat. Rob49 & 21 Savage),9,78
Apple,9,84
DENIAL IS A RIVER,9,91
Just Give Me a Reason (feat. Nate Ruess),9,87
Viva La Vida,9,90
You're So Vain,9,81
The Emptiness Machine,9,83
Laugh Now Cry Later (feat. Lil Durk),9,78
Young And Beautiful,9,88
Dreamin,9,84
ANXIETY (feat. Doechii),9,87
Alright,9,84
Exchange,9,82
PRIDE.,9,87
Lovers Rock,9,89
Jump - 2015 Remaster,9,80
A Sky Full of Stars,8,90
like JENNIE,8,96
Dance The Night - From Barbie The Album,8,85
Vois sur ton chemin - Techno Mix,8,82
Dark Red,8,87
Daddy Issues,8,87
The Sweet Escape,8,79
Something Just Like This,8,90
Dark Thoughts,8,93
Cheerleader (Felix Jaehn Remix) - Radio Edit,8,84
Yale,7,79
Drive By,7,84
DIE TRYING,7,89
You Can Call Me Al,7,81
Cooler Than Me - Single Mix,7,80
LIL DEMON,7,79
Gimme! Gimme! Gimme! (A Man After Midnight),7,83
Just A Lil Bit,7,81
Please Please Please,7,86
You,7,82
Better Now,7,81
You Get Me So High,7,83
The Nights,6,87
Embrace It,6,82
Romantic Homicide,6,87
peekaboo (feat. azchike),6,87
TEFLON DON,6,68
Your Song,6,81
Just Can’t Get Enough,6,82
All of Me,6,88
Enter Sandman (Remastered),6,79
All Girls Are The Same,6,85
Falling Down - Bonus Track,6,86
Ain't No Love In Oklahoma (From Twisters: The Album),6,87
Say It Ain't So - Original Mix,6,78
Praise The Lord (Da Shine) (feat. Skepta),6,84
You & Me - Rivo Remix,5,83
Pink Pony Club,5,89
The Days - NOTION Remix,5,91
Drops of Jupiter (Tell Me),5,85
Youngblood,5,83
Juna,5,83
Austin (Boots Stop Workin'),5,88
Again,5,82
The Door,5,90
Breezeblocks,5,72
They Don't Care About Us,5,77
the perfect pair,5,86
VOY A LLeVARTE PA PR,5,93
PHILLY (with Travis Scott),5,84
Young Dumb & Broke,5,83
I Adore You (feat. Daecolm),5,88
the way things go,5,81
Goosebumps - Remix,5,76
Valerie (feat. Amy Winehouse) - Version Revisited,5,83
Evergreen,5,85
Paradise,5,87
The Scientist,5,90
The Spins,5,86
"jealousy, jealousy",4,84
The Night We Met,4,76
Jigsaw Falling Into Place,4,81
Perfect,4,90
The Sound of Silence - CYRIL Remix,4,86
Jealous,4,83
You Should Probably Leave,4,86
Be My Lover (feat. La Bouche) - 2023 Mix,4,76
PLUTOSKI,4,68
Just Dance,4,81
Just Like Johnny,4,79
MOJO JOJO,4,81
The Thrill,4,85
Right Now (Na Na Na),4,81
You Proof,4,81
Mo Chicken (feat. French Montana),4,77
