genre,avg_duration_min
"""art pop""]",4.357
"[""hyperpop""",4.357
"[""musicals""]",4.29164523809524
"""soft rock""]",4.0031
"[""bangla pop""]",3.84229166666667
"""psychedelic pop""]",3.69744166666667
"[""indie""",3.69744166666667
"""corrido""",3.69455
"""grupera""",3.69455
"""m\u00fasica mexicana""]",3.69455
"""norte\u00f1o""",3.69455
"""ranchera""",3.69455
"""sad sierre\u00f1o""",3.69455
"""sierre\u00f1o""",3.69455
"[""banda""",3.69455
"""punjabi pop""]",3.62053047619048
"[""punjabi hip hop""",3.62053047619048
"[""rage rap""]",3.61066111111111
"[""modern rock""]",3.57182777777778
"[""k-pop""]",3.42087222222222
"""honky tonk""",3.41358333333333
"""traditional country""]",3.41358333333333
"[""country""",3.41358333333333
"[""classic rock""",3.40251666666667
"""metal""",3.35443888888889
"""post-hardcore""]",3.35443888888889
"[""metalcore""",3.35443888888889
[],3.34977146341463
"[""soft pop""]",3.32676212121212
"[""r&b""]",3.26016041666667
"[""europop""]",3.19265833333333
"[""slap house""]",3.09253333333333
"""drill""",3.05741666666667
"""grime""]",3.05741666666667
"[""uk drill""",3.05741666666667
"[""bedroom pop""]",3.04444166666667
"[""christmas""]",3.01843333333333
"[""drill""]",2.82573
"""country rock""]",2.80193333333333
"""southern rock""",2.80193333333333
"""latin""]",2.66502222222222
"[""latin pop""",2.66502222222222
"""emo rap""]",2.55013888888889
"""horrorcore""",2.55013888888889
"[""dark trap""",2.55013888888889
"""classical piano""]",2.43791111111111
"[""classical""",2.43791111111111
"[""soft rock""]",2.33254666666667
"""new age""",2.0571
"""symphonic rock""]",2.0571
"[""progressive rock""",2.0571
"[""dream pop""]",1.96921666666667
"[""country""]",1.71433333333333
