owner_id,playlist_count,followers,avg_track_popularity,avg_total_tracks
myplay.com,4,788009,82.9555555555555,143.011111111111
1190341719,2,120,84.4666666666667,571.933333333333
1211561681,2,9221,88.0,106.0
1r3qgjybj9yfp9prm6fwdh6fu,2,1495,85.375,143.625
312avoycbyo353bvbqm2mpdnghjy,2,8059,87.1578947368421,107.0
312gbzssnxu5vvai67pl6w5yvkrq,2,730,90.2,148.0
31heeg5wrzm67nrgtehxz23z2mmq,2,757,85.2222222222222,124.111111111111
magicmusicsquad,2,166670,84.3333333333333,189.0
osicktk,2,15024,83.6,130.4
selectedbase,2,183398,86.25,124.5
06ob2afrl0xqphf3mtakq49i4,1,34,91.0,40.0
0nigkw5to60vo8y7dl2n9o79u,1,1585,87.5,149.0
0u8wa8m1ep4cg0ppbfwgti93u,1,24529,86.0,49.0
0v18m5rzsdub5pujpnmuh56ij,1,628,84.1428571428571,507.0
11122285044,1,32,92.0,264.0
11148856374,1,30,89.6666666666667,110.0
11156981936,1,1422,92.0,263.0
1122548223,1,10,85.4545454545455,765.0
1124797261,1,41,87.1666666666667,1972.0
1176949865,1,27,82.8,323.0
12152164263,1,39,83.0,55.0
12162444321,1,190,84.1052631578947,708.0
12165290026,1,239,83.5,493.0
1217753577,1,2724,81.0,35.0
1219707021,1,1269,78.0,87.0
1221028518,1,1179,84.3333333333333,226.0
122367408,1,1456,85.3,500.0
15vs6aimm9o65pwikup3edccm,1,47,87.1666666666667,198.0
216t4wcypow7onckcdqqqpjtq,1,812,86.4,217.0
21ifzjxggdajdpc4w6iqxslkq,1,74195,82.0,150.0
21le2m46t7cigw3voaff3cfty,1,9,88.8888888888889,587.0
222nub5pqodz7qq5uh76mfiai,1,296,85.6666666666667,99.0
224zuhbnqwqfwc5ibhhq247ba,1,3,89.875,69.0
226lbbav754crrtrnoxxukdba,1,12,84.0,227.0
22gxtrleosutkh2zwqonqegoi,1,18,84.0,257.0
22luqs7tptiqgwxx576ec6gaq,1,7,85.0,449.0
22wtasixkgy42qtl7fviojfgi,1,22,85.2857142857143,328.0
22y4eknlnnt3tiid2e4a6lnhi,1,6,84.8823529411765,486.0
2557rkrwsdanra2c2j61zawmd,1,2,82.0769230769231,1836.0
25p4fc0t91euvoo1kvikp0shh,1,1,86.125,843.0
2k995mbzd5f9ui49qh23xp2tr,1,2913,73.5,299.0
2que25urphyjm9p7sgld0g88d,1,3,84.0,167.0
2qwg7e3bzxdtf6v26kc7a5jeg,1,3,88.0,77.0
3127dt62zm6mepus2pnuueovbjmq,1,296,71.25,350.0
312ghrl4gurueg6smzrx4cvlvmlu,1,0,81.8888888888889,575.0
312u7xarsihrg3vlqwg3zl7m5teq,1,3,72.0,359.0
313cbkv32of4bwnwaqgtzfjxcjla,1,0,87.0,603.0
